form	lemma	POS	morph
		
༽༄༅།		PUNCT
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
རྣམས་	རྣམས་	DET
ཕྱོགས་	ཕྱོགས་	NOUN
གཅིག་	གཅིག་	NUM
ཏུ་	ལ་	PART
བསྡུས་པ་	བསྡུས་པ་	VERB
མཐོང་བ་	མཐོང་བ་	VERB
དོན་ལྡན་	དོན་ལྡན་	ADJ
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
རང་གྲོལ་	རང་གྲོལ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
		
༽		PUNCT
ཨེ་མ་ཧོ་	ཨེ་མ་ཧོ་	INTJ
།		PUNCT
གནས་	གནས་	NOUN
སྤྱི་གཙུག་	སྤྱི་གཙུག་	NOUN
པདྨ་	པདྨ་	NOUN
ཉི་ཟླ་	ཉི་ཟླ་	NOUN
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
། །		PUNCT
སྐྱབས་	སྐྱབས་	NOUN
ཀུན་	ཀུན་	DET
འདུ་	འདུ་	VERB
བདུད་འདུལ་	བདུད་འདུལ་	OTHER
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
གླིང་	གླིང་	NOUN
། །		PUNCT
དོན་	དོན་	NOUN
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
མཆོག་	མཆོག་	ADJ
།		PUNCT
སྐུ་	སྐུ་	NOUN
དམར་སྨུག་	དམར་སྨུག་	NO_POS
གཟི་བརྗིད་	གཟི་བརྗིད་	NOUN
འོད་	འོད་	NOUN
དུ་	ལ་	PART
འབའ་	འབའ་	VERB
། །		PUNCT
གསུང་	གསུང་	VERB
ཚངས་དབྱངས་	ཚངས་དབྱངས་	NOUN
དྲུག་ཅུ་	དྲུག་ཅུ་	NUM
འི་	གི་	PART
ཆོས་སྒྲ་	ཆོས་སྒྲ་	NO_POS
སྒྲོག་	སྒྲོག་	VERB
།		PUNCT
ཐུགས་	ཐུགས་	NOUN
འཁྲུལ་པ་	འཁྲུལ་པ་	NO_POS
མེད་པ་	མེད་པ་	VERB
སྤྲོས་བྲལ་	སྤྲོས་བྲལ་	ADJ
རྟོགས་	རྟོགས་	VERB
། །		PUNCT
ཆོ་	ཆོ་	NOUN
